Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Jim	12:34 3/1/2016	118
Mike	12:34 3/1/2016	146
Mike	13:44 4/0/2016	116
Jim	13:44 4/0/2016	107
Tom	13:44 4/0/2016	96
TomH	13:44 4/0/2016	106
Tom	16:38 4/3/2016	111
Jim	16:38 4/3/2016	99
Jim	16:50 4/3/2016	109
TomH	16:50 4/3/2016	160
Jim	10:35 4/4/2016	14
Mike	10:35 4/4/2016	8
Tom	16:50 4/5/2016	132
Lana	16:51 4/5/2016	119
TomH	16:51 4/5/2016	167
Lana	16:52 4/5/2016	85
Mike	17:44 4/5/2016	105
Jim	17:44 4/5/2016	109
Lana	17:44 4/5/2016	148
Mike	18:5 4/5/2016	157
Jim	18:5 4/5/2016	109
Tom	18:5 4/5/2016	188
Lana	18:5 4/5/2016	108
TomH	18:5 4/5/2016	111
